"#","Section","Topic","Question / Item to verify","Answer","Suggested Owner","Notes"
"14","§4 Inventario de datos","Encriptación de saldos por cuenta","Confirmar encriptación de saldos por cuenta en tránsito y en reposo.","Confirmado.","Engineering",""
"15","§4 Inventario de datos","Encriptación de movimientos / transacciones","Confirmar encriptación de movimientos/transacciones en tránsito y en reposo.","Confirmado.","Engineering",""
"16","§4 Inventario de datos","Encriptación + retención de estados de cuenta (PDF)","Confirmar encriptación + política de retención específica para PDFs descargables del banco.","Confirmado.","Engineering",""
"17","§4 Inventario de datos","Encriptación de datos del cliente","Datos del cliente (RIF, razón social, contactos) — confirmar encriptación.","Confirmado.","Engineering",""
"18","§4 Inventario de datos","Retención de logs de acceso","Política de retención de logs de acceso a la plataforma.","Sí, conservamos logs. Período exacto pendiente — incluir en ticket.","Engineering",""
"19","§6.2 Seguridad — prácticas","Encriptación en reposo (detalle)","Algoritmo y gestión de llaves para credenciales bancarias, tokens Plaid, data sensible del cliente.","Pendiente — incluido en el Linear ticket de Dan.","Engineering","Posible duplicado de #8"
"20","§6.2 Seguridad — prácticas","Control de accesos internos","Separación de roles, principio de menor privilegio, MFA para accesos administrativos, logs auditables de acceso a data del cliente.","Sí (ver #12).","Engineering","Posible duplicado de #12"
"21","§6.2 Seguridad — prácticas","Hardening de infraestructura","Proveedor cloud, configuración de red (VPC, security groups, etc.), gestión de secrets.","Pendiente — incluido en el Linear ticket de Dan.","Engineering",""
"22","§6.2 Seguridad — prácticas","Ciclo de actualizaciones y parches","Política y cadencia de patching.","Pendiente — incluido en el Linear ticket de Dan.","Engineering",""
"23","§6.2 Seguridad — prácticas","Monitoreo y detección","Herramientas y procesos de detección de actividad anómala (SIEM, EDR, alertas internas).","Pendiente — incluido en el Linear ticket de Dan.","Engineering",""
"24","§6.2 Seguridad — prácticas","Respaldo y recuperación","Políticas de backup, RTO (recovery time objective), RPO (recovery point objective).","Tenemos políticas de backup como parte de las prácticas de seguridad. RTO/RPO específicos pendientes.","Engineering",""
"25","§6.2 Seguridad — prácticas","Estándares de referencia","Alineación operativa con marcos como ISO 27001, SOC 2, NIST CSF. ¿Hay certificación formal o trabajo en curso hacia una?","SOC 2 en curso (work in progress).","Engineering / Luis",""
"26","§6.3 Seguridad — incidentes","Política interna actual","¿Existe protocolo formalizado de respuesta a incidentes? ¿Está siendo formalizado? Estado actual.","Aún no existe un protocolo formalizado.","Engineering / Luis",""
"27","§6.3 Seguridad — incidentes","Plazo objetivo de notificación al cliente","Plazo objetivo de notificación al cliente en caso de incidente material: 24h, 72h, otro.","Aún no se ha definido un plazo formal.","Luis / Legal Ops",""
